iterations_needed,decision_reached,misled,correct,comment
3,True,False,True,
5,False,,,132915
2,True,False,True,
2,True,False,False,133033 (0.032)
5,False,,,133114
2,True,False,False,133150 (0.1)
5,False,,,133237
3,True,True,False,
4,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,False,True,133650 (re-evaluated)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,False,133847 (0.032)
2,True,False,False,133905 (0.032)
2,True,False,True,
2,True,False,True,
3,True,False,True,
2,True,False,True,
5,False,,,134137
2,True,False,True,
2,True,True,False,
5,False,,,134302
2,True,True,False,
2,True,True,False,
