iterations_needed,decision_reached,misled,correct,comment
2,True,True,False,
2,True,True,False,
5,False,,,105912
2,True,False,True,
2,True,False,True,
2,True,True,False,
4,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
4,True,True,False,
5,True,False,False,121017 (0.032)
2,True,False,False,121051 (0.016)
5,True,True,False,
5,False,,,121151
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,False,True,
5,False,,,125448
5,True,True,False,125521 (0.0125 / Re-evaluation)
2,True,False,True,
3,True,False,True,
2,True,False,True,
4,True,False,True,
2,True,True,False,
2,True,True,False
