iterations_needed,decision_reached,misled,comment
2,True,False,
2,True,False,
2,True,False,
2,True,True,
2,True,False,
2,True,False,
2,True,False,
2,True,True,
2,True,False,
2,True,False,
5,False,,105937
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
4,True,False,
2,True,False,
5,False,,110442 (re-evaluation)
2,True,True,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
3,True,True,
2,True,False,
