iterations_needed,decision_reached,misled,comment
5,False,,104355
2,True,True,
3,True,True,
2,True,True,
2,True,False,
2,True,False,
2,True,False,
3,True,False,
2,True,False,
2,True,False,
2,True,False,
4,True,False,
2,True,False,
5,False,,104914
2,True,False,
2,True,True,
2,True,False,
5,False,,105041
2,True,False,
2,True,False,
2,True,False,
5,True,False,
5,False,,105255
2,True,False,
2,True,False,
2,False,,105408
2,True,False,
2,True,True,
2,True,True,
2,True,False,
