experiment,label,test,p-value
MMS (centralized),misled,Fisher's Exact Test,0.002128557265634993
MMS (centralized),decision_reached,Fisher's Exact Test,5.621381461831741e-08
MMS (centralized),iterations_needed,Mann-Whitney U Test,2.9583345191246343e-11
MS (centralized),misled,Fisher's Exact Test,0.007409783038336962
MS (centralized),decision_reached,Fisher's Exact Test,0.0002507337317317869
MS (centralized),iterations_needed,Mann-Whitney U Test,1.7033000900161065e-08
MSM (centralized),misled,Fisher's Exact Test,4.635688621467135e-05
MSM (centralized),decision_reached,Fisher's Exact Test,9.226769211554169e-14
MSM (centralized),iterations_needed,Mann-Whitney U Test,3.7680898713200627e-13
MSS (centralized),misled,Fisher's Exact Test,0.047022325948256706
MSS (centralized),iterations_needed,Mann-Whitney U Test,0.005256255708198433
SM (centralized),misled,Fisher's Exact Test,0.047022325948256706
SM (centralized),decision_reached,Fisher's Exact Test,5.621381461831741e-08
SM (centralized),iterations_needed,Mann-Whitney U Test,2.2347520509379232e-11
SMM (centralized),iterations_needed,Mann-Whitney U Test,8.103117370407713e-06
SMS (centralized),misled,Fisher's Exact Test,0.02037279175315088
SMS (centralized),iterations_needed,Mann-Whitney U Test,0.00010637769554390084
SSM (centralized),misled,Fisher's Exact Test,0.0004310204101236465
SSM (centralized),decision_reached,Fisher's Exact Test,3.324669067805032e-05
SSM (centralized),iterations_needed,Mann-Whitney U Test,3.387549992552698e-09
SSMMS (centralized),decision_reached,Fisher's Exact Test,0.030341421261911288
SSMMS (centralized),iterations_needed,Mann-Whitney U Test,0.00023439701802563837
SSSMM (centralized),misled,Fisher's Exact Test,0.02037279175315088
SSSMM (centralized),decision_reached,Fisher's Exact Test,0.00342116497224037
SSSMM (centralized),iterations_needed,Mann-Whitney U Test,1.2645913167236052e-06
