iterations_needed,decision_reached,misled,correct,comment,agents misled,agents rejected
3,majority vote,,,113040 (decision on both),0,0
3,majority vote,False,True,,1,1
3,majority vote,True,False,,2,0
3,majority vote,False,True,,1,1
3,majority vote,,,113257 (no decision > faulty algorithm),0,0
3,majority vote,,,113329 (no decision > faulty algorithm),0,0
3,majority vote,True,False,,2,0
3,majority vote,,,113425 (decision on both),0,0
3,majority vote,,,113449 (decision on both),0,0
3,majority vote,True,False,,2,0
3,majority vote,,,113543 (decision on both),1,0
3,majority vote,False,True,,1,1
3,majority vote,False,True,,0,2
3,majority vote,,,113707 (decision on both),2,0
3,majority vote,False,True,,0,2
3,majority vote,False,True,,1,1
3,majority vote,,,113832 (decision on proceeding),0,0
3,majority vote,,,113856 (decision on both),0,0
3,majority vote,False,True,,1,1
3,majority vote,,,113943 (decision on both),2,0
3,majority vote,False,True,,1,1
3,majority vote,,,114034 (decision on both),0,0
3,majority vote,,,114103 (decision on both),0,0
3,majority vote,,,114136 (decision on both),0,0
3,majority vote,,,114203 (supportive decided on both),1,0
3,majority vote,,,114233 (no decision),0,0
3,majority vote,,,114305 (decision on both),0,0
3,majority vote,True,,114333,2,0
3,majority vote,False,True,,1,1
3,majority vote,,,114437 (decision on both),0,0
