iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
2,True,False,True,
3,True,False,True,
5,False,,,182833 (re-evaluated)
2,True,True,False,
2,True,False,True,
3,True,False,True,
2,True,False,True,
5,False,,,183127 (re-evaluated)
2,True,False,True,
5,False,,,183236 (rethink failure)
2,True,False,True,
2,True,False,True,
3,True,False,True,
5,False,,,183444 (re-evaluated)
2,True,False,True,
2,True,True,False,
2,True,False,True,
3,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
