experiment,label,test,p-value,significant
MM,misled,Fisher's Exact Test,0.007409783038336962,True
MM,decision_reached,Fisher's Exact Test,0.6119536128456735,False
MM,iterations_needed,Mann-Whitney U Test,0.08473662822803674,False
MM,Correctness,Fisher's Exact Test,1.0,False
MMS,misled,Fisher's Exact Test,0.007409783038336962,True
MMS,decision_reached,Fisher's Exact Test,1.0,False
MMS,iterations_needed,Mann-Whitney U Test,0.05886293746905628,False
MMS,Correctness,Fisher's Exact Test,0.4915254237288137,False
MS,misled,Fisher's Exact Test,0.42197538101990234,False
MS,decision_reached,Fisher's Exact Test,1.0,False
MS,iterations_needed,Mann-Whitney U Test,0.030843536201850333,True
MS,Correctness,Fisher's Exact Test,1.0,False
MSM,misled,Fisher's Exact Test,0.2789124054147543,False
MSM,decision_reached,Fisher's Exact Test,1.0,False
MSM,iterations_needed,Mann-Whitney U Test,0.01427098781891949,True
MSM,Correctness,Fisher's Exact Test,1.0,False
MSMSMS,misled,Fisher's Exact Test,0.43891101679610967,False
MSMSMS,decision_reached,Fisher's Exact Test,0.47164455896551566,False
MSMSMS,iterations_needed,Mann-Whitney U Test,0.5123571002531115,False
MSMSMS,Correctness,Fisher's Exact Test,0.4915254237288137,False
MSS,misled,Fisher's Exact Test,1.0,False
MSS,decision_reached,Fisher's Exact Test,1.0,False
MSS,iterations_needed,Mann-Whitney U Test,0.07828136311555478,False
MSS,Correctness,Fisher's Exact Test,1.0,False
MSSSS,misled,Fisher's Exact Test,0.047022325948256706,True
MSSSS,decision_reached,Fisher's Exact Test,0.0002507337317317869,True
MSSSS,iterations_needed,Mann-Whitney U Test,0.04049667274794088,True
MSSSS,Correctness,Fisher's Exact Test,0.4915254237288137,False
SM,misled,Fisher's Exact Test,4.635688621467135e-05,True
SM,decision_reached,Fisher's Exact Test,0.23728813559322037,False
SM,iterations_needed,Mann-Whitney U Test,0.002296373671104949,True
SM,Correctness,Fisher's Exact Test,0.4915254237288137,False
SMM,misled,Fisher's Exact Test,4.635688621467135e-05,True
SMM,decision_reached,Fisher's Exact Test,0.23728813559322037,False
SMM,iterations_needed,Mann-Whitney U Test,0.0006511238433465737,True
SMM,Correctness,Fisher's Exact Test,1.0,False
SMS,misled,Fisher's Exact Test,0.007409783038336962,True
SMS,decision_reached,Fisher's Exact Test,1.0,False
SMS,iterations_needed,Mann-Whitney U Test,0.01427098781891949,True
SMS,Correctness,Fisher's Exact Test,0.4915254237288137,False
SSMSS,misled,Fisher's Exact Test,0.02037279175315088,True
SSMSS,decision_reached,Fisher's Exact Test,0.007409783038336962,True
SSMSS,iterations_needed,Mann-Whitney U Test,0.5197408473708083,False
SSMSS,Correctness,Fisher's Exact Test,0.4915254237288137,False
SSSMM,misled,Fisher's Exact Test,0.0004310204101236465,True
SSSMM,decision_reached,Fisher's Exact Test,0.00342116497224037,True
SSSMM,iterations_needed,Mann-Whitney U Test,0.0908319902855123,False
SSSMM,Correctness,Fisher's Exact Test,1.0,False
