iterations_needed,decision_reached,misled,correct,comment
5,False,,,185824
2,True,True,False,
5,False,,,185929
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,False,True,
5,False,,,190142
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,False,True,
5,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
5,False,,,190653
3,True,False,True,
5,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,False,True,
