iterations_needed,decision_reached,misled,comment
2,True,False,
2,True,True,
3,True,True,re-evaluation
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
4,True,False,
2,False,,154041
2,True,False,
2,True,False,
3,True,False,re-evaluation
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
5,False,,154518 (re-evaluation)
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
5,False,,160104
2,True,False,
2,True,True,
5,False,,160303
