iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
2,True,False,True,162811 (0.615)
2,True,False,True,162825 (0.615)
3,True,True,False,162836 (re-evaluated 0.614 rounding)
3,True,False,True,162900 (0.615)
3,True,True,False,162921 (re-evaluated 0.614 rounding)
3,True,True,False,162940 (re-evaluated 0.614 rounding)
2,True,False,True,163006 (0.615)
3,True,True,False,
3,True,True,False,163034 (re-evaluated 0.614 rounding)
2,True,True,False,
2,True,True,False,
2,True,False,True,163139 (0.615)
2,True,False,True,
2,True,False,True,163204 (0.615)
2,True,True,False,
3,True,True,False,
2,True,False,True,163244 (0.615)
2,True,False,True,163255 (0.615)
2,True,False,True,163308 (0.615)
2,True,True,False,
2,True,True,False,
4,True,True,False,
3,True,True,False,163414 (re-evaluated 0.614 rounding)
5,False,,,163442
3,True,True,False,
5,False,,,163538 (0.615 formal and 0.614 informal)
5,False,,,163604
3,True,True,False,
2,True,False,True,163647 (0.615)
