iterations_needed,decision_reached,misled,correct,comment
2,True,False,False,171700
2,True,False,True,171726
2,True,False,True,171748
2,True,False,True,171808
2,True,True,False,171823
2,True,True,False,171840
2,True,True,False,171900
2,True,True,False,
2,True,False,True,171957
2,True,False,False,172018 ABBBCCCDDD
2,True,True,False,
2,True,False,False,
2,True,True,False,
3,True,True,False,172143
2,True,False,True,172228
2,True,True,False,172253
2,True,False,True,172308
2,True,False,True,172341
2,True,True,False,
2,True,False,False,172433
2,True,False,True,172455
2,True,False,True,172529
2,True,False,False,172550
2,True,True,False,172613
2,True,False,True,172630
2,True,False,True,172645
2,True,True,False,
2,True,False,False,172719 A B C D
2,True,True,False,
2,True,False,False,172812
