experiment,label,test,p-value,significant
Division,misled,Fisher's Exact Test,0.7961071585895803,False
Division,decision_reached,Fisher's Exact Test,1.0,False
Division,iterations_needed,Mann-Whitney U Test,0.7623378093114572,False
Division,Correctness,Fisher's Exact Test,0.4915254237288137,False
Matrix Eigenvectors,misled,Fisher's Exact Test,0.02037279175315088,True
Matrix Eigenvectors,decision_reached,Fisher's Exact Test,0.23728813559322037,False
Matrix Eigenvectors,iterations_needed,Mann-Whitney U Test,0.017185475292749434,True
Matrix Eigenvectors,Correctness,Fisher's Exact Test,1.0,False
Matrix Product,misled,Fisher's Exact Test,0.002128557265634993,True
Matrix Product,decision_reached,Fisher's Exact Test,0.23728813559322037,False
Matrix Product,iterations_needed,Mann-Whitney U Test,0.0006511238433465737,True
Matrix Product,Correctness,Fisher's Exact Test,0.4915254237288137,False
Summation,misled,Fisher's Exact Test,0.002128557265634993,True
Summation,decision_reached,Fisher's Exact Test,0.6119536128456735,False
Summation,iterations_needed,Mann-Whitney U Test,0.15989932601870216,False
Summation,Correctness,Fisher's Exact Test,0.4915254237288137,False
