iterations_needed,decision_reached,misled,correct,comment
2,False,,,214128 (decided for both)
5,False,,,214221
2,True,True,False,
5,False,,,214556
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
5,False,,,215200
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
5,False,,,215800
2,True,True,False,
5,False,,,220303
2,False,,,220536 (decided for both)
2,True,False,True,
2,True,True,False,220721 (explicitly selected misleading advisor)
5,False,,,220821
5,False,,,221029
2,True,True,False,
5,False,,,221342
2,True,False,True,
5,False,,,221556
5,False,,,222018
5,False,,,222252
2,True,False,True,
