iterations_needed,decision_reached,misled,correct,comment
3,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
5,False,,,231704
2,True,False,True,
2,True,False,True,
4,True,False,True,231847 (re-evaluated)
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,True,False,
3,True,True,False,232054 (re-evaluated)
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
3,True,False,True,
5,False,,,232411
2,True,False,True,
2,True,True,False,
2,True,False,True,
