iterations_needed,decision_reached,misled,correct,comment
2,True,True,False,
2,True,False,True,
3,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,True,False,
5,False,,,154908
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
5,False,,,155441
2,True,True,False,
2,True,,,155551
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,False,True,
