iterations_needed,decision_reached,misled,correct,comment
5,True,False,False,160231 (0.2)
5,True,False,True,
4,True,True,False,
4,True,False,True,
4,True,False,False,160704 (0.285)
4,True,False,True,
5,False,,,161031
5,False,,,161110
5,True,True,False,
5,True,False,True,161237
4,True,False,True,161438
5,True,False,True,161549
4,True,False,True,161814
5,True,False,False,162017 (0.2815)
4,True,False,True,162102
5,True,True,False,162215
5,False,,,184718 (only decided on proceeding)
5,False,,,184757 (decided on both)
5,False,,,184840
4,True,False,True,184917
5,False,,,184947
5,False,,,185022
5,False,,,185336 (decided on both)
5,True,False,True,185431
4,True,False,True,185511
5,False,,,185547 (decided on proceeding)
5,False,,,192742
5,True,False,True,163014
5,False,,,193058
5,True,False,True,193801
