iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
3,True,False,True, (re-evaluated)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
5,False,,,183250
2,True,False,True,
2,True,False,True,
3,False,,,183506 (not clearly decided)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
5,False,,,183854
2,True,,,183939 (faulty algorithm)
2,True,True,False,
2,True,False,True,
