iterations_needed,decision_reached,misled,correct,comment
4,True,False,True,
5,False,,,141215
5,False,,,141250
2,True,False,True,
2,True,False,True,
4,True,True,False,
2,True,False,True,
4,True,False,True,
2,True,False,True,
3,True,False,True,
3,True,False,True,141717 (re-evaluation)
2,True,False,True,
2,True,False,True,
5,False,,,141854
2,True,True,False,
5,False,,,141943
2,True,False,True,
4,True,False,True,
5,False,,,142118
5,False,,,142146
2,True,False,True,
4,True,False,False,142240 (0.032)
2,True,False,True,
2,True,False,,142332 (no result calculated)
2,True,False,True,
2,True,False,True,
5,False,,,142430
4,True,False,True,
2,True,False,True,
5,False,,,142559
