iterations_needed,decision_reached,misled,correct,comment
4,False,,,162257 (moderator decided after tie in team)
5,False,,,162325 (moderator clearly influenced decision making)
5,False,,,162513
5,False,,,162548
5,False,,,162618
4,True,True,,
4,True,False,True,
5,False,,,162747
5,False,,,162813
5,False,,,162854 (decision on proceeding)
5,False,,,162945
5,True,False,True,
5,False,,,163102
5,False,,,163149
5,False,,,163220
5,False,,,163305
4,True,True,False,
5,False,,,163506
5,False,,,163604
5,False,,,163728
4,True,True,False,
4,True,True,False,
3,True,True,False,
3,True,False,True,180614 (moderator decided after tie in team)
5,False,,,180643
5,False,,,180803
5,False,,,180834
5,False,,,180910
5,False,,,180941 (decision on both)
5,False,,,182304
