experiment,label,test,p-value,significant
MMS (centralized),misled,Fisher's Exact Test,0.002128557265634993,True
MMS (centralized),decision_reached,Fisher's Exact Test,5.621381461831741e-08,True
MMS (centralized),iterations_needed,Mann-Whitney U Test,2.9583345191246343e-11,True
MMS (centralized),Correctness,Fisher's Exact Test,1.0,False
MS (centralized),misled,Fisher's Exact Test,0.007409783038336962,True
MS (centralized),decision_reached,Fisher's Exact Test,0.0002507337317317869,True
MS (centralized),iterations_needed,Mann-Whitney U Test,1.7033000900161065e-08,True
MS (centralized),Correctness,Fisher's Exact Test,1.0,False
MSM (centralized),misled,Fisher's Exact Test,4.635688621467135e-05,True
MSM (centralized),decision_reached,Fisher's Exact Test,9.226769211554169e-14,True
MSM (centralized),iterations_needed,Mann-Whitney U Test,3.7680898713200627e-13,True
MSM (centralized),Correctness,Fisher's Exact Test,0.4915254237288137,False
MSS (centralized),misled,Fisher's Exact Test,0.047022325948256706,True
MSS (centralized),decision_reached,Fisher's Exact Test,0.47164455896551566,False
MSS (centralized),iterations_needed,Mann-Whitney U Test,0.005256255708198433,True
MSS (centralized),Correctness,Fisher's Exact Test,1.0,False
SM (centralized),misled,Fisher's Exact Test,0.047022325948256706,True
SM (centralized),decision_reached,Fisher's Exact Test,5.621381461831741e-08,True
SM (centralized),iterations_needed,Mann-Whitney U Test,2.2347520509379232e-11,True
SM (centralized),Correctness,Fisher's Exact Test,1.0,False
SMM (centralized),misled,Fisher's Exact Test,1.0,False
SMM (centralized),decision_reached,Fisher's Exact Test,0.05746627333208206,False
SMM (centralized),iterations_needed,Mann-Whitney U Test,8.103117370407713e-06,True
SMM (centralized),Correctness,Fisher's Exact Test,0.4915254237288137,False
SMS (centralized),misled,Fisher's Exact Test,0.02037279175315088,True
SMS (centralized),decision_reached,Fisher's Exact Test,0.29897938215686065,False
SMS (centralized),iterations_needed,Mann-Whitney U Test,0.00010637769554390084,True
SMS (centralized),Correctness,Fisher's Exact Test,0.4915254237288137,False
SSM (centralized),misled,Fisher's Exact Test,0.0004310204101236465,True
SSM (centralized),decision_reached,Fisher's Exact Test,3.324669067805032e-05,True
SSM (centralized),iterations_needed,Mann-Whitney U Test,3.387549992552698e-09,True
SSM (centralized),Correctness,Fisher's Exact Test,1.0,False
SSMMS (centralized),misled,Fisher's Exact Test,0.7924942425907314,False
SSMMS (centralized),decision_reached,Fisher's Exact Test,0.030341421261911288,True
SSMMS (centralized),iterations_needed,Mann-Whitney U Test,0.00023439701802563837,True
SSMMS (centralized),Correctness,Fisher's Exact Test,0.4915254237288137,False
SSSMM (centralized),misled,Fisher's Exact Test,0.02037279175315088,True
SSSMM (centralized),decision_reached,Fisher's Exact Test,0.00342116497224037,True
SSSMM (centralized),iterations_needed,Mann-Whitney U Test,1.2645913167236052e-06,True
SSSMM (centralized),Correctness,Fisher's Exact Test,1.0,False
