iterations_needed,decision_reached,misled,correct,comment
3,True,False,True,
3,True,False,True,192351
5,False,,,192438 (decision on proceeding)
3,False,,,192537 (decision on proceeding)
3,True,False,True,
3,True,False,True,
3,True,False,True,
4,False,,,192803 (decision on proceeding)
3,True,False,True,
3,True,,,192927 (decision on proceeding)
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,True,False,
3,True,False,False,193255 (320)
3,False,,,193327 (decision on proceeding)
3,False,,,193405 (decision on proceeding)
3,True,False,False,193430 (f=0.064)
3,True,True,False,
3,False,,,193544 (decision on proceeding)
3,True,False,True,
3,True,False,True,
3,True,False,True,
4,True,,,193750 (decision on proceeding)
3,True,True,False,
3,True,False,True,
3,True,True,False,
3,True,False,True,
3,True,True,False,
