iterations_needed,decision_reached,misled,correct,comment
5,False,,,152239
2,True,True,False,
3,True,False,True,
4,True,False,True,
2,True,False,False,152502 (0.032)
3,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,False,True,
5,False,,,152730
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,True,False,153128 (0.0625)
3,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,False,True,
3,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,False,153541 (0.032)
2,True,False,True,
2,True,False,True,
