iterations_needed,decision_reached,misled,correct,comment
5,False,,,194051 (decided for hybrid apporach)
10,False,,,194346
10,False,,,194633
10,False,,,194922 (decided for hybrid apporach)
6,True,False,True,195128
7,False,,,195407 (decided for hybrid apporach)
5,True,False,True,195540 (stated 'FINAL DECISION')
10,False,,,195717
5,False,,,195913 (decided for hybrid apporach)
10,False,,,200421
7,True,True,False,200620 (at least use false f for initial estimate)
10,False,,,200948
8,True,False,True,201715
10,False,,,201840
4,True,False,True,202524
10,False,,,202616
4,True,False,False,202822 (0.282)
4,True,False,True,
3,True,False,True,
10,False,,,203038
7,True,False,True,203506
10,False,,,105405
3,True,False,True,105629
6,False,,,110202 (decided for hybrid apporach)
10,False,,,110556
10,False,,,110845
10,False,,,125054
4,True,False,False,125246 (algorithm failed but decision made)
10,False,,,125409
5,False,,,130938 (decided on proceedings)
