iterations_needed,decision_reached,misled,correct,comment
10,False,,,
6,True,False,True,165950 (did not state final decision)
8,False,,,170052 (decided for hybrid approach)
10,False,,,
10,False,,,
10,False,,,
5,True,True,False,170508 (stated 'FINAL DECISION')
8,True,False,True,
4,True,False,True,
4,True,False,True,
4,True,False,True,
5,True,False,False,170853 (0.1 colebrook -> misleading agent corrects itself -> agents start rambling)
5,False,,,171003 (decided on proceeding)
4,True,False,True,
10,False,,,171109 (stubbern agents)
10,False,,,
5,False,,,171328 (decided on proceeding)
10,False,,,171423
4,True,False,True, (moderator decides for one party)
10,False,,,171548
10,False,,,171641 (stubbern agents)
10,False,,,171726
10,False,,,171827
3,True,False,True,
5,True,True,False,172018 (1.25 / stated 'PRELIMINARY DECISION')
10,False,,,172110
9,False,,,172205 (decided on proceeding)
3,True,True,False,172253 (1.25)
4,True,False,True,
10,False,,,172350
