iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
3,True,False,True,
2,True,False,False,183223 (320)
2,True,False,True,
2,True,False,True,
5,False,,,183325 (re-thinking without outcome)
5,True,False,True,
3,True,False,True,
5,True,True,False,
5,False,,,183543
5,False,,,183613
3,True,True,False,
5,False,,,183706
4,True,True,False,
2,True,True,False,
2,True,False,True,
3,True,False,True,
2,True,False,True,
5,False,,,183925
2,True,True,False,
4,True,False,True,
4,True,False,,184043 (no result calculated)
2,True,False,True,
4,True,True,False,184135 (weird solution
5,False,,,184203
5,False,,,184318
2,True,True,False,
5,True,False,True,
5,False,,,184447
2,True,False,True,
