iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
3,True,True,False,154020 (re-evaluation)
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,False,False,154703 (0.15)
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,True,False,154818 (even though not catched by algorithm)
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
