experiment,label,test,p-value,significant
Aggressive,misled,Fisher's Exact Test,0.02037279175315088,True
Aggressive,decision_reached,Fisher's Exact Test,0.1805804037737829,False
Aggressive,iterations_needed,Mann-Whitney U Test,0.9165486797871767,False
Aggressive,Correctness,Fisher's Exact Test,0.4915254237288137,False
Creative,misled,Fisher's Exact Test,0.007409783038336962,True
Creative,decision_reached,Fisher's Exact Test,0.6119536128456735,False
Creative,iterations_needed,Mann-Whitney U Test,0.04792045446536894,True
Creative,Correctness,Fisher's Exact Test,1.0,False
Insecure,misled,Fisher's Exact Test,0.09461077986808852,False
Insecure,decision_reached,Fisher's Exact Test,0.23728813559322037,False
Insecure,iterations_needed,Mann-Whitney U Test,0.5085237189808998,False
Insecure,Correctness,Fisher's Exact Test,1.0,False
Kind,misled,Fisher's Exact Test,0.047022325948256706,True
Kind,decision_reached,Fisher's Exact Test,1.0,False
Kind,iterations_needed,Mann-Whitney U Test,0.6018660171225438,False
Kind,Correctness,Fisher's Exact Test,0.4915254237288137,False
Not Concise,misled,Fisher's Exact Test,0.02037279175315088,True
Not Concise,decision_reached,Fisher's Exact Test,0.6119536128456735,False
Not Concise,iterations_needed,Mann-Whitney U Test,0.02195160088562814,True
Not Concise,Correctness,Fisher's Exact Test,1.0,False
