iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,True,False,
5,False,,,173249
2,True,False,True,
2,True,True,False,173343 (1.25)
2,True,False,True,
5,False,,,173428
2,True,True,False,
4,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
3,True,True,False,
5,False,,,173919
2,True,True,False,173955 (0.0125)
3,True,True,False,174021 (re-evaluated)
4,True,False,True,
2,True,False,True,
3,True,True,False,
