iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
4,True,True,False,
5,False,,,180743
2,True,False,True,
2,True,False,True,
2,True,False,True,
5,False,,,180938
2,True,False,True,
5,False,,,181044
5,False,,,181137
5,False,,,181216
2,True,False,True,
2,True,True,False,
2,True,False,True,
3,True,False,True,181424 (re-evaluated)
2,True,False,True,
2,False,,,181547 (decision on further proceeding)
2,False,,,181604 (decision on further proceeding)
2,True,False,True,
2,True,True,False,
3,True,True,False,
3,True,False,True,181750 (re-evaluated)
3,True,False,True,181839 (re-evaluated)
5,False,,,181933
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
