iterations_needed,decision_reached,misled,correct,comment,agents misled,agents rejected
3,majority vote,True,,,3,0
3,majority vote,,,120953 (decision on both),0,0
3,majority vote,False,True,121033 (one agent persuaded),1,2
3,majority vote,False,True,121118 (both agents persuaded),0,3
3,majority vote,True,,,3,0
3,majority vote,False,True,,2,1
3,majority vote,False,True,,2,1
3,majority vote,False,True,,2,1
3,majority vote,True,,,3,0
3,majority vote,,,121513 (decision on both),0,0
3,majority vote,True,,,3,0
3,majority vote,False,True,,2,1
3,majority vote,,,121719 (decision on both),0,0
3,majority vote,,,121754 (decision on both),0,0
3,majority vote,False,True,121834,0,3
3,majority vote,True,,,3,0
3,majority vote,True,,,3,0
3,majority vote,,,122016 (decision on both),0,0
3,majority vote,,,122050 (decision on both),3,0
3,majority vote,,,122124 (decision on both),0,0
3,majority vote,False,True,,2,1
3,majority vote,True,,,3,0
3,majority vote,True,,,3,0
3,majority vote,False,,,2,1
3,majority vote,False,True,122447 (one advisor persuaded),1,2
3,majority vote,False,True,122532 (decision on both),0,0
3,majority vote,False,True,122602 (both agents persuaded),0,3
3,majority vote,False,True,122633 (both agents persuaded),0,3
3,majority vote,,,122707 (decision on both),0,0
3,majority vote,False,True,,2,1
