iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
3,True,False,True,163320 (Rethinking)
3,True,False,True,163343 (Rethinking)
2,True,False,True,
3,True,False,True,163431 (Rethinking)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,False,True,163605 (Rethinking)
2,True,False,True,
3,True,False,True,163640 (Rethinking)
2,True,True,False,
2,True,False,True,
3,True,False,True,163726 (Rethinking)
3,True,False,True,163753 (Rethinking)
3,True,False,True,163815 (Rethinking)
2,True,False,True,
2,True,False,True,
3,True,False,True,163903 (Rethinking)
2,True,False,True,
2,True,False,True,
3,True,False,True,163959 (Rethinking)
3,True,False,True,164021 (Rethinking)
