iterations_needed,decision_reached,misled,correct,comment
5,False,,,104333
3,True,False,True,
5,False,,,104531
2,True,True,False,
5,False,,,104821
2,True,True,False,
2,True,True,False,
5,False,,,105130
2,True,True,False,
2,True,True,False,
5,False,,,105412
5,False,,,105629
2,True,False,True,
5,False,,,105846
5,False,,,105941
2,True,,,110215
5,False,,,110242
2,True,True,False,
5,False,,,110416
2,True,True,False,
2,True,True,False,
2,True,False,True,
5,False,,,110720
2,True,False,True,
5,False,,,110919
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,True,False,
