iterations_needed,decision_reached,misled,correct,comment
3,True,False,True,
3,True,True,False,
5,False,,,185630 (decision on proceeding)
4,False,,,185744 (decision for hybrid approach)
4,True,True,False,
5,True,False,,185908 (stated 'FINAL DECISION')
3,False,,,190020  (decision on proceeding)
3,True,False,True,
4,True,True,False,190129 (propose final decision)
3,True,True,False,
3,True,True,False,
7,True,True,False,
5,True,False,True,
7,True,True,False,
4,False,,,190622 (decided for hybrid apporach)
10,False,,,190714
10,False,,,190848
4,False,,,191036 (decided for hybrid apporach)
4,True,False,,191120
7,False,,,191158 (decided on proceeding)
10,False,,,191323
3,True,True,False,191513 (0.0125)
5,True,True,False, (moderator decides by majority vote)
4,True,False,True,
5,False,,,191745 (decided for hybrid apporach)
3,True,True,False,
6,True,True,False,
5,True,True,False,192021
3,True,True,False,
7,True,True,False,192156
