iterations_needed,decision_reached,misled,correct,comment
3,True,False,True,
3,True,True,False,
3,True,True,False,
3,True,False,True,
4,False,,,203937 (decided for hybrid approach)
3,True,True,False,
3,True,False,True,
10,False,,,204318
3,True,False,True,
3,True,True,False,204745 ('FINAL DECISION')
3,True,True,False,
3,True,False,True,
4,False,,,205119 (decided on proceedings)
3,True,True,False,205252 (1.25)
3,True,False,True,
10,False,,,205534
3,True,True,False,
3,True,True,False,
3,True,True,False,
3,True,False,True,
6,False,,,210420 (decided for hybrid approach)
10,False,,,210604
10,False,,,210850
10,False,,,211159
10,False,,,211442
4,True,False,True,
3,True,True,False,
3,False,,,211956 (decided on proceedings)
3,False,,,212050 (decided on proceedings)
4,True,True,False,
