iterations_needed,decision_reached,misled,correct,comment
2,True,False,False,193626 (0.032)
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,True,False,
3,True,False,False,194218 (0.965 -> Colebrook equation)
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,True,False,
5,False,,,194504
2,True,True,False,
2,True,True,False,
5,False,,,194705
2,True,False,True,
5,False,,,194934
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,False,,,195459 (decision on proceeding)
