iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
2,True,False,False,112803 (320)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,False,113008 (3.2)
2,True,False,True,
3,True,False,True,
3,True,False,True,
2,True,False,False,113241 (3.2)
2,True,False,True,
2,True,False,True
2,True,False,False,113414 (3.2)
2,True,False,True,
3,True,False,True,
2,True,False,False,113550 (3.2)
2,True,False,True,
2,True,False,False,113635 (3.2)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,False,113829 (3.2)
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,False,True,
3,True,False,True,
