iterations_needed,decision_reached,misled,correct,comment
4,True,False,True,
5,False,,,152458
4,True,True,False,152533 (decision not captured but clearly taken)
2,True,False,True,
2,True,False,True,
5,False,,,152648
2,True,False,True,
2,True,False,True,
2,True,True,False,
3,True,True,False,
2,True,True,False,
2,True,False,True,
5,False,,,152957
3,True,True,False,
4,True,False,True,
3,True,False,True,
2,True,False,True,
5,False,,,153207
2,True,False,True,
2,True,True,False,
5,False,,,153334
2,True,False,True,
2,True,False,True,
3,True,False,,153502 (no result calculated)
2,True,True,False,
3,True,True,False,
3,True,True,False,
5,False,,,153635
2,True,False,True,
2,True,True,False,
